"wifiradar","device","signal","timestamp","networks"
"C0A0BBED842E","2064320C12A2",-71,"2014-12-19 13:40:49","jf,Internet B2C"
"C0A0BBED842E","4C8D79A35362",-57,"2014-12-19 13:40:46","tasid-netgear"
"C0A0BBED842E","241EC36464",-54,"2014-12-19 13:40:32","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-62,"2014-12-19 13:40:30","tasid-netgear"
"C0A0BBED842E","4C8D79A35362",-52,"2014-12-19 13:40:14","tasid-netgear"
"C0A0BBED842E","241EC36464",-53,"2014-12-19 13:39:33","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-51,"2014-12-19 13:39:31","tasid-netgear"
"C0A0BBED842E","2064320C12A2",-70,"2014-12-19 13:39:27","Tecnodata2G,Free E4A HotSpot Alb.Valcanover,Alice-96490433,FABRIZIO-PC_Network,Denise"
"C0A0BBED842E","2064320C12A2",-70,"2014-12-19 13:39:24","Internet B2C,jf"
"C0A0BBED842E","A4C36177B923",-54,"2014-12-19 13:39:07","Wireless,u-hopper-dlink,Wireless_Caprini"
"C0A0BBED842E","A4C36177B923",-57,"2014-12-19 13:39:03","u-hopper-dlink"
"C0A0BBED842E","2064320C12A2",-68,"2014-12-19 13:38:58","Internet B2C,FABRIZIO-PC_Network,jf,TP-LINK_BEA09E,Vodafone-30210778,Free E4A HotSpot Alb.Valcanover,Alice-96490433,Tecnodata2G"
"C0A0BBED842E","2064320C12A2",-66,"2014-12-19 13:38:53","Internet B2C"
"C0A0BBED842E","4C8D79A35362",-51,"2014-12-19 13:38:44","tasid-netgear"
"C0A0BBED842E","241EC36464",-53,"2014-12-19 13:38:37","WiFi_CrYPn"
"C0A0BBED842E","4C8D79E763F8",-39,"2014-12-19 13:38:37","u-hopper-cisco"
"C0A0BBED842E","4C8D79A35362",-49,"2014-12-19 13:37:58","tasid-netgear"
"C0A0BBED842E","2064320C12A2",-67,"2014-12-19 13:37:54","Internet B2C,jf"
"C0A0BBED842E","241EC36464",-61,"2014-12-19 13:37:34","WiFi_CrYPn"
"C0A0BBED842E","881FA11B7C86",-41,"2014-12-19 13:37:19","u-hopper-cisco"
"C0A0BBED842E","881FA11B7C86",-45,"2014-12-19 13:37:17","u-hopper-cisco"
"C0A0BBED842E","241EC36464",-58,"2014-12-19 13:36:34","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-49,"2014-12-19 13:36:29","tasid-netgear"
"C0A0BBED842E","4C8D79A35362",-52,"2014-12-19 13:35:46","tasid-netgear"
"C0A0BBED842E","241EC36464",-54,"2014-12-19 13:35:33","WiFi_CrYPn"
"C0A0BBED842E","F8D11121AE96",-71,"2014-12-19 13:35:32","TP1"
"C0A0BBED842E","F8D11121AE96",-73,"2014-12-19 13:35:26","TP1"
"C0A0BBED842E","4C8D79A35362",-52,"2014-12-19 13:34:57","tasid-netgear"
"C0A0BBED842E","241EC36464",-59,"2014-12-19 13:34:27","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-47,"2014-12-19 13:34:10","tasid-netgear"
"C0A0BBED842E","2064320C12A2",-70,"2014-12-19 13:33:51","jf,Internet B2C"
"C0A0BBED842E","241EC36464",-58,"2014-12-19 13:33:30","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-54,"2014-12-19 13:33:29","tasid-netgear"
"C0A0BBED842E","2064320C12A2",-67,"2014-12-19 13:33:05","jf"
"C0A0BBED842E","2064320C12A2",-67,"2014-12-19 13:32:49","jf"
"C0A0BBED842E","241EC36464",-53,"2014-12-19 13:32:29","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-54,"2014-12-19 13:31:59","tasid-netgear"
"C0A0BBED842E","2064320C12A2",-52,"2014-12-19 13:31:49","Alice-96490433"
"C0A0BBED842E","241EC36464",-13,"2014-12-19 13:31:29","WiFi_CrYPn"
"C0A0BBED842E","2064320C12A2",-66,"2014-12-19 13:31:23","Vodafone-30210778,FABRIZIO-PC_Network,Alice-96490433,Alice-38827019,Denise"
"C0A0BBED842E","4C8D79A35362",-47,"2014-12-19 13:31:09","tasid-netgear"
"C0A0BBED842E","4C8D79A35362",-49,"2014-12-19 13:30:41","tasid-netgear"
"C0A0BBED842E","4C8D79A35362",-49,"2014-12-19 13:30:36","tasid-netgear"
"C0A0BBED842E","241EC36464",-55,"2014-12-19 13:30:27","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-51,"2014-12-19 13:30:24","tasid-netgear"
"C0A0BBED842E","4C8D79A35362",-46,"2014-12-19 13:29:38","tasid-netgear"
"C0A0BBED842E","241EC36464",-55,"2014-12-19 13:29:25","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-47,"2014-12-19 13:28:51","tasid-netgear"
"C0A0BBED842E","A0F450EFC73A",-67,"2014-12-19 13:28:50","Telecom-68197325"
"C0A0BBED842E","A0F450EFC73A",-61,"2014-12-19 13:28:29","Telecom-68197325"
"C0A0BBED842E","241EC36464",-56,"2014-12-19 13:28:26","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-46,"2014-12-19 13:27:25","tasid-netgear"
"C0A0BBED842E","845181EB1FBC",-56,"2014-12-19 13:27:15","NETGEAR"
"C0A0BBED842E","4C8D79A35362",-51,"2014-12-19 13:26:40","tasid-netgear"
"C0A0BBED842E","241EC36464",-56,"2014-12-19 13:26:26","WiFi_CrYPn"
"C0A0BBED842E","F8D11121AE96",-67,"2014-12-19 13:26:09","TP1"
"C0A0BBED842E","4C8D79A35362",-53,"2014-12-19 13:25:54","tasid-netgear"
"C0A0BBED842E","90004E7206E5",-70,"2014-12-19 13:25:36","InfostradaWiFi-54a92c"
"C0A0BBED842E","30F7C508EB1E",-68,"2014-12-19 13:25:31","Pigmento"
"C0A0BBED842E","241EC36464",-58,"2014-12-19 13:25:23","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-50,"2014-12-19 13:25:06","tasid-netgear"
"C0A0BBED842E","241EC36464",-54,"2014-12-19 13:24:22","WiFi_CrYPn"
"C0A0BBED842E","4C8D79A35362",-49,"2014-12-19 13:24:22","tasid-netgear"
